id,abundance,sample_id,kingdom,phylum,class,order,family,genus,species
AZC9C_14,9880.82173664939,E,Bacteria,Firmicutes,Bacilli,RF39,UBA660,CAG-822,
AZC9C_25,8982.186237339001,E,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,UBA7173,GCA_002491305.1
AZC9C_27,10536.7473737353,E,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,28-4,GCF_000403275.1
AZC9C_29,13143.617990785437,E,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,Parasporobacterium,
AZC9C_34,9748.385914498893,E,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium pseudolongum_A
AZC9C_40,9967.22744881693,E,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,CAG-873,
AZC9C_57,8958.62110043765,E,Bacteria,Firmicutes_A,Clostridia,Clostridiales,Savagellaceae,Savagella,Savagella sp1
AZC9C_6,46185.63903036982,E,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,Homeothermus,GCA_002492595.1
AZC9C_68,83415.03917792632,E,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,Homeothermus,GCA_002358615.1
AZC9C_7,121189.69679358836,E,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,CAG-485,CAG-485 sp1
AZC9C_71,23805.460598764777,E,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus_B,Lactobacillus_B murinus
AZC9C_88,45370.01798314312,E,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,CAG-873,
AZC9C_93,9821.165152713975,E,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,COE1,
AZC9C_94,8610.14675414054,E,Bacteria,Firmicutes_A,Clostridia,TANB77,CAG-508,Clostridium,
AZC9C_98,6316.1986254558915,E,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,Dorea,
AZC3J_1,16093.995068167005,J,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,DTU089,Acutalibacter,Acutalibacter muris
AZC3J_13,7260.998106102979,J,Bacteria,Firmicutes_A,Clostridia,TANB77,CAG-508,Clostridium,
AZC3J_18,840507.7222486355,J,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron
AZC3J_20,16623.018007788538,J,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,Eubacterium_F,
AZC3J_21,15667.29661071338,J,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,COE1,
AZC3J_25,22178.22350387844,J,Bacteria,Firmicutes,Bacilli,Acholeplasmatales,CAG-307,UBA7004,
AZC3J_26,6794.364745302002,J,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,Hungatella_A,
AZC3J_28,29823.384882247035,J,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,Akkermansia muciniphila
AZC3J_31,8030.558473715673,J,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,Oscillibacter,
AZC3J_32,9923.637559310848,J,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,CAG-485,CAG-485 sp6
AZC3J_34,99849.10687470464,J,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,COE1,GCA_002490665.1
AZC3J_45,12444.621835675012,J,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,CAG-65,
AZC3J_46,22769.99281938421,J,Bacteria,Firmicutes_A,Clostridia,TANB77,CAG-508,Clostridium,
AZC3J_49,27516.243121986954,J,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Ruminococcaceae,UBA946,
AZC3J_55,78809.99358896061,J,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus johnsonii
AZC3J_56,17849.05194620888,J,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,unclassified Lachnospiraceae,
AZC3J_57,13129.507675145353,J,Bacteria,Firmicutes,Bacilli,RF39,UBA660,CAG-776,
AZC3J_59,19152.097577910816,J,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,CAG-65,
AZC3J_6,47524.493753326715,J,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,unclassified Lachnospiraceae,
AZC3J_60,18704.926860337553,J,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,DTU089,Eubacterium_R,
AZC3J_61,8193.597704564538,J,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,UBA9502,
AZC3J_64,31876.092423880244,J,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Ruminococcaceae,UBA1394,
AZC3J_71,7938.420384810532,J,Bacteria,Firmicutes,Bacilli,RF39,UBA660,CAG-776,
AZC3J_73,6109.3739039144,J,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,COE1,
AZC3J_74,342351.39048589166,J,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,CAG-485,CAG-485 sp1
AZC3J_77,7387.949265633047,J,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,Ruminococcus_B,
AZC3J_79,59362.00337714424,J,Bacteria,Firmicutes,Bacilli,RF39,UBA660,CAG-582,
AZC3J_81,7205.255746464451,J,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,COE1,GCF_000403335.2
AZC3J_82,93623.46775610808,J,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,Dorea,
AZC3J_87,205209.2961739305,J,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,GCA_002428825.1
AZC3J_88,19103.19875553591,J,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,CAG-1031,
AZC3J_9,6447.843558911415,J,Bacteria,Firmicutes_A,Clostridia,CAG-41,UBA1381,CAG-41,
AZC3J_91,8128.0973218999725,J,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,28-4,
AZC3J_95,8760.257532011306,J,Bacteria,Firmicutes_A,Clostridia,4C28d-15,UBA3700,Christensenella,
AZC3J_99,20305.464781243118,J,Bacteria,Firmicutes_A,Clostridia,TANB77,CAG-508,CAG-273,
