taxon,colonization_binary,distance,independence,mean_d0_abundance,diversity_ratio
AZC9C_91,0,0.535838207894486,16.99,0.00082262858677805,0.969550479223237
AZC9C_96,0,0.53068963278998,3.02,7.920364663782e-05,0.969550479223237
AZC9C_108,0,0.709246126613158,14.46,0.00050628168350007,0.969550479223237
AZC9C_110,0,1.09931822882637,16.2,0.00034938009970242,0.969550479223237
AZC9C_115,0,0.462415414466255,3.36,3.301255719962e-05,0.969550479223237
AZC3J_1,0,0.364757331518512,16.05,0.00100544304347056,0.905317400928128
AZC3J_6,0,1.84543441151007,11.81,0.00066957213189169,0.905317400928128
AZC3J_9,0,0.264587675603178,14.83,0.0004620468063134,0.905317400928128
AZC3J_20,0,0.387495501379482,13.66,0.00012723591193733,0.905317400928128
AZC3J_21,0,0.265952320993981,15,0.0010055084845349,0.905317400928128
AZC3J_25,0,0.744189385472215,8.8,2.14736444992e-06,0.905317400928128
AZC3J_26,0,0.303591359633453,15.35,0.00017521632487669,0.905317400928128
AZC3J_32,0,0.357841695243525,21.22,0.00065942580121141,0.905317400928128
AZC3J_45,0,0.289891552841669,13.71,0.0006815351114984,0.905317400928128
AZC3J_49,0,1.70059592362091,15.25,0.00058814105346435,0.905317400928128
AZC3J_56,0,0.397136675692066,15.43,0.00012389398834497,0.905317400928128
AZC3J_57,0,0.374096670957845,3.02,0.00093728823447971,0.905317400928128
AZC3J_59,0,0.462809551125436,13.07,0.00022892354933708,0.905317400928128
AZC3J_61,0,0.300750475964638,16.16,0.00065898595017547,0.905317400928128
AZC3J_71,0,0.336435185274197,3.48,0.00022595948768362,0.905317400928128
AZC3J_77,0,0.29191071757997,16.6,0.0007677162830066,0.905317400928128
AZC3J_82,0,2.61024362701697,15.71,0.0004469999457248,0.905317400928128
AZC3J_88,0,0.513962866238017,21.87,0.00056322729672785,0.905317400928128
AZC3J_95,0,0.320334762187409,10.09,2.8892492724e-06,0.905317400928128
AZC5T_21,0,0.241494223856019,13.42,0.00084298708084618,0.905317400928128
AZC5T_106,1,7.53437506197968,18.45,8.603111642348e-05,0.905317400928128
AZC5T_115,0,1.55128716648236,15.39,7.9113427102e-07,0.905317400928128
AZC7E_4,1,5.81655605617729,15.54,1.788853312299e-05,0.905317400928128
AZC7E_34,0,0.330937852224587,13.03,0.00064508992060478,0.905317400928128
AZC7E_47,0,1.77097811700912,2,7.227148229821e-05,0.905317400928128
AZC7E_72,0,2.05525011983439,16.74,7.84910270662e-06,0.905317400928128
AZC7E_74,0,0.405284160254061,17.53,0.00026334750420861,0.905317400928128
AZC7E_116,0,2.39535725986643,6.12,4.282586845e-06,0.905317400928128
AZC9C_25,0,0.325120170283685,22.61,0.00037626368133372,0.905317400928128
AZC9C_30,0,0.336140882999704,3.26,0.00075657688576504,0.905317400928128
