taxon,growth_rate,degree.centrality,distance,independence,mean_d0_abundance,diversity_ratio,log_fold_change,colonization_binary
AZC9C_80,0.0165275039703632,1.78571428571429,0.373029077242435,9.47,5.653405873206e-05,0.969550479223237,0.651974895274679,0
AZC9C_81,0.0166623648563265,2.61428571428571,0.266070480598569,14.89,0.00037293474747311,0.969550479223237,-0.0823077032481452,0
AZC9C_91,0.0208470220967678,2.85714285714286,0.535838207894486,16.99,0.00082262858677805,0.969550479223237,-1.03343336247197,0
AZC9C_96,0.0260267520245254,4.02857142857143,0.53068963278998,3.02,7.920364663782e-05,0.969550479223237,-0.740638545601618,0
AZC9C_108,0.0414997092425695,3.85714285714286,0.709246126613158,14.46,0.00050628168350007,0.969550479223237,0.158610954525664,0
AZC9C_110,0.0407588893243539,4.18571428571429,1.09931822882637,16.2,0.00034938009970242,0.969550479223237,0.311902113430371,0
AZC9C_115,0.0229063904315643,2.47142857142857,0.462415414466255,3.36,3.301255719962e-05,0.969550479223237,-0.31799937752457,0
AZC3J_1,0.03044663154566,4.24285714285714,0.364757331518512,16.05,0.00100544304347056,0.905317400928128,0.0158514283618876,0
AZC3J_6,0.0900373442014348,4.88571428571429,1.84543441151007,11.81,0.00066957213189169,0.905317400928128,-0.204818301312108,0
AZC3J_9,0.0121867513633788,1.9,0.264587675603178,14.83,0.0004620468063134,0.905317400928128,0.181546677765822,0
AZC3J_20,0.0314353519742451,3.01428571428571,0.387495501379482,13.66,0.00012723591193733,0.905317400928128,0.258587582500373,0
AZC3J_21,0.0296475986936991,3.12857142857143,0.265952320993981,15,0.0010055084845349,0.905317400928128,-0.993543167198613,0
AZC3J_25,0.0423693760435135,5.15714285714286,0.744189385472215,8.8,2.14736444992e-06,0.905317400928128,-0.205768584792723,0
AZC3J_26,0.0128431161235517,3.44285714285714,0.303591359633453,15.35,0.00017521632487669,0.905317400928128,0.299880763529351,0
AZC3J_32,0.0187931841061012,4,0.357841695243525,21.22,0.00065942580121141,0.905317400928128,0.69304055357123,0
AZC3J_45,0.0235813349708684,2.92857142857143,0.289891552841669,13.71,0.0006815351114984,0.905317400928128,-0.454868950149359,0
AZC3J_49,0.0520056129545356,7.01428571428571,1.70059592362091,15.25,0.00058814105346435,0.905317400928128,0.348344766283162,0
AZC3J_56,0.0338100364053114,2.02857142857143,0.397136675692066,15.43,0.00012389398834497,0.905317400928128,0.403730534997263,0
AZC3J_57,0.0248232923850551,3.54285714285714,0.374096670957845,3.02,0.00093728823447971,0.905317400928128,-0.542752650008491,0
AZC3J_59,0.0362417808268849,3.01428571428571,0.462809551125436,13.07,0.00022892354933708,0.905317400928128,-0.224526352930115,0
AZC3J_61,0.0154914151992259,3.12857142857143,0.300750475964638,16.16,0.00065898595017547,0.905317400928128,0.565047538526029,0
AZC3J_71,0.0150072530809931,2.41428571428571,0.336435185274197,3.48,0.00022595948768362,0.905317400928128,0.250426700027691,0
AZC3J_77,0.0139764459667118,3.78571428571429,0.29191071757997,16.6,0.0007677162830066,0.905317400928128,-0.115428301925924,0
AZC3J_82,0.176928015837295,3.64285714285714,2.61024362701697,15.71,0.0004469999457248,0.905317400928128,0.108294912856628,0
AZC3J_88,0.0362039442055538,2.88571428571429,0.513962866238017,21.87,0.00056322729672785,0.905317400928128,0.494071588667451,0
AZC3J_95,0.0165794623808602,2.27142857142857,0.320334762187409,10.09,2.8892492724e-06,0.905317400928128,0.515485933300886,0
AZC5T_21,0.0269075249356344,1.61428571428571,0.241494223856019,13.42,0.00084298708084618,0.905317400928128,-1.15452022445363,0
AZC5T_106,0.35091870209481,12.5428571428571,7.53437506197968,18.45,8.603111642348e-05,0.905317400928128,5.09085631360545,1
AZC5T_115,0.0856619068500705,2.37142857142857,1.55128716648236,15.39,7.9113427102e-07,0.905317400928128,-0.716511373173471,0
AZC7E_4,0.288129079255453,7.71428571428571,5.81655605617729,15.54,1.788853312299e-05,0.905317400928128,6.43349717185983,1
AZC7E_34,0.0220707093030701,1.74285714285714,0.330937852224587,13.03,0.00064508992060478,0.905317400928128,-1.08031613500682,0
AZC7E_47,0.0950101438239332,3.11428571428571,1.77097811700912,2,7.227148229821e-05,0.905317400928128,-1.21022789606242,0
AZC7E_72,0.103951602633336,3.05714285714286,2.05525011983439,16.74,7.84910270662e-06,0.905317400928128,-1.45093463423349,0
AZC7E_74,0.0279233655469979,4.22857142857143,0.405284160254061,17.53,0.00026334750420861,0.905317400928128,-0.231410153827885,0
